"","week","season","Team","Opponent","home_or_away","id","Team_conference","Team_division","Opponent_conference","Opponent_division","Team_points","Opponent_points","Bovada_over_under","DraftKings_over_under","William Hill (New Jersey)_over_under","ESPN Bet_over_under","Team_Last_Week_time_of_poss_total","Team_Last_Week_pass_comps","Team_Last_Week_pass_atts","Team_Last_Week_net_pass_yds","Team_Last_Week_pass_TDs","Team_Last_Week_interceptions","Team_Last_Week_rush_atts","Team_Last_Week_rush_yds","Team_Last_Week_rush_TDs","Team_Last_Week_total_yds","Team_Last_Week_fumbles_lost","Team_Last_Week_turnovers","Team_Last_Week_first_downs","Team_Last_Week_third_downs","Team_Last_Week_third_down_convs","Team_Last_Week_fourth_down_convs","Team_Last_Week_fourth_downs","Team_Last_Week_penalties","Team_Last_Week_penalty_yds","Team_szn_Average_time_of_poss_total","Team_szn_Average_pass_comps","Team_szn_Average_pass_atts","Team_szn_Average_net_pass_yds","Team_szn_Average_pass_TDs","Team_szn_Average_interceptions","Team_szn_Average_rush_atts","Team_szn_Average_rush_yds","Team_szn_Average_rush_TDs","Team_szn_Average_total_yds","Team_szn_Average_fumbles_lost","Team_szn_Average_turnovers","Team_szn_Average_first_downs","Team_szn_Average_third_downs","Team_szn_Average_third_down_convs","Team_szn_Average_fourth_down_convs","Team_szn_Average_fourth_downs","Team_szn_Average_penalties","Team_szn_Average_penalty_yds","Bovada_Bias","DraftKings_Bias","William_Hill_Bias","ESPN_Bias","Avergae_Bias","Team_Last_Week_Points","Team_Last_Week_Bias"
"11",11,2023,"Air Force","Hawai'i","Away",401532613,"Mountain West","fbs","Mountain West","fbs",13,27,"46.5","49.5",NA,"47.5",1671,10,24,104,0,2,40,155,0,259,4,6,19,14,5,0,2,6,55,2026.55555555556,4.22222222222222,7.11111111111111,83.8888888888889,0.666666666666667,0.222222222222222,54.8888888888889,282.888888888889,3,366.777777777778,1,1.22222222222222,20.2222222222222,12.3333333333333,6.11111111111111,1.22222222222222,1.77777777777778,3.22222222222222,27.4444444444444,-6.5,-9.5,NA,-7.5,-7.83333333333333,3,-6.16666666666667
"12",12,2023,"Air Force","UNLV","Home",401532624,"Mountain West","fbs","Mountain West","fbs",27,31,"46.5","47",NA,"46.5",1766,3,9,114,0,3,47,201,1,315,1,4,17,14,7,1,1,3,25,2000.5,4.1,7.3,86.9,0.6,0.5,54.1,274.7,2.8,361.6,1,1.5,19.9,12.5,6.2,1.2,1.7,3.2,27.2,11.5,11,NA,11.5,11.3333333333333,13,-7.83333333333333
"13",13,2023,"Air Force","Boise State","Away",401532625,"Mountain West","fbs","Mountain West","fbs",19,27,"45.0",NA,NA,"44.5",2014,3,9,60,0,0,62,344,3,404,1,1,22,14,3,1,2,4,30,2001.72727272727,4,7.45454545454545,84.4545454545455,0.545454545454545,0.454545454545455,54.8181818181818,281,2.81818181818182,365.454545454545,1,1.45454545454545,20.0909090909091,12.6363636363636,5.90909090909091,1.18181818181818,1.72727272727273,3.27272727272727,27.4545454545455,1,NA,NA,1.5,1.25,27,11.3333333333333
"14",2,2023,"Akron","Morgan State","Home",401532399,"Mid-American","fbs","MEAC","fcs",24,21,NA,NA,"46",NA,1825,17,29,205,2,1,28,74,1,279,0,1,13,12,3,1,1,10,82,1825,17,29,205,2,1,28,74,1,279,0,1,13,12,3,1,1,10,82,NA,NA,-1,NA,-1,NA,NA
"15",3,2023,"Akron","Kentucky","Away",401520228,"Mid-American","fbs","SEC","fbs",3,35,"48.5",NA,"48.5",NA,1624,25,34,266,1,3,25,4,0,270,2,5,17,11,4,0,1,8,70,1724.5,21,31.5,235.5,1.5,2,26.5,39,0.5,274.5,1,3,15,11.5,3.5,0.5,1,9,76,-10.5,NA,-10.5,NA,-10.5,24,-1
"16",4,2023,"Akron","Indiana","Away",401520256,"Mid-American","fbs","Big Ten","fbs",27,29,"46.0","46","45.5",NA,2087,29,41,190,0,0,25,49,0,239,1,1,16,15,6,0,1,6,41,1845.33333333333,23.6666666666667,34.6666666666667,220.333333333333,1,1.33333333333333,26,42.3333333333333,0.333333333333333,262.666666666667,1,2.33333333333333,15.3333333333333,12.6666666666667,4.33333333333333,0.333333333333333,1,8,64.3333333333333,10,10,10.5,NA,10.1666666666667,3,-10.5
"17",5,2023,"Akron","Buffalo","Home",401532412,"Mid-American","fbs","Mid-American","fbs",10,13,"55.5","55.5","53",NA,2064,26,44,211,0,3,40,263,3,474,0,3,24,17,5,0,2,10,98,1900,24.25,37,218,0.75,1.75,29.5,97.5,1,315.5,0.75,2.5,17.5,13.75,4.5,0.25,1.25,8.5,72.75,-32.5,-32.5,-30,NA,-31.6666666666667,27,10.1666666666667
"18",6,2023,"Akron","Northern Illinois","Home",401532418,"Mid-American","fbs","Mid-American","fbs",14,55,"42.5","42.5","42.5",NA,1598,19,28,136,1,0,27,117,0,253,1,1,15,11,2,1,1,2,20,1839.6,23.2,35.2,201.6,0.8,1.4,29,101.4,0.8,303,0.8,2.2,17,13.2,4,0.4,1.2,7.2,62.2,26.5,26.5,26.5,NA,26.5,10,-31.6666666666667
"19",7,2023,"Akron","Central Michigan","Away",401532420,"Mid-American","fbs","Mid-American","fbs",10,17,"44.0","43","44",NA,2166,19,34,146,1,1,41,107,1,253,0,1,19,18,4,1,2,4,35,1894,22.5,35,192.333333333333,0.833333333333333,1.33333333333333,31,102.333333333333,0.833333333333333,294.666666666667,0.666666666666667,2,17.3333333333333,14,4,0.5,1.33333333333333,6.66666666666667,57.6666666666667,-17,-16,-17,NA,-16.6666666666667,14,26.5
"20",8,2023,"Akron","Bowling Green","Away",401532429,"Mid-American","fbs","Mid-American","fbs",14,41,"37.0","37.5","37",NA,1329,16,34,123,1,2,19,70,0,193,0,2,10,13,3,0,1,9,57,1813.28571428571,21.5714285714286,34.8571428571429,182.428571428571,0.857142857142857,1.42857142857143,29.2857142857143,97.7142857142857,0.714285714285714,280.142857142857,0.571428571428571,2,16.2857142857143,13.8571428571429,3.85714285714286,0.428571428571429,1.28571428571429,7,57.5714285714286,18,17.5,18,NA,17.8333333333333,10,-16.6666666666667
"21",10,2023,"Akron","Kent State","Home",401532436,"Mid-American","fbs","Mid-American","fbs",31,27,"39.0",NA,NA,"40.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1811.125,21.625,35.375,188.875,0.75,1.5,29.125,91.125,0.875,280,0.75,2.25,16.5,14,4.25,0.5,1.5,7.25,58.75,19,NA,NA,17.5,18.25,14,17.8333333333333
"22",11,2023,"Akron","Miami (OH)","Away",401532441,"Mid-American","fbs","Mid-American","fbs",0,19,"37.5","42",NA,"37.5",1792,23,39,298,2,0,29,95,2,393,0,0,22,14,6,1,2,3,35,1809,21.7777777777778,35.7777777777778,201,0.888888888888889,1.33333333333333,29.1111111111111,91.5555555555556,1,292.555555555556,0.666666666666667,2,17.1111111111111,14,4.44444444444444,0.555555555555556,1.55555555555556,6.77777777777778,56.1111111111111,-18.5,-23,NA,-18.5,-20,31,18.25
"23",12,2023,"Akron","Eastern Michigan","Away",401532445,"Mid-American","fbs","Mid-American","fbs",27,30,"39.5","39",NA,"39.5",1661,22,42,176,0,2,23,36,0,212,0,2,14,14,2,0,4,7,62,1794.2,21.8,36.4,198.5,0.8,1.4,28.5,86,0.9,284.5,0.6,2,16.8,14,4.2,0.5,1.8,6.8,56.7,17.5,18,NA,17.5,17.6666666666667,0,-20
"24",13,2023,"Akron","Ohio","Home",401532452,"Mid-American","fbs","Mid-American","fbs",14,25,"42.0",NA,NA,"41.5",2058,23,31,240,1,0,41,75,2,315,0,0,19,19,12,1,1,8,87,1818.18181818182,21.9090909090909,35.9090909090909,202.272727272727,0.818181818181818,1.27272727272727,29.6363636363636,85,1,287.272727272727,0.545454545454545,1.81818181818182,17,14.4545454545455,4.90909090909091,0.545454545454545,1.72727272727273,6.90909090909091,59.4545454545455,-3,NA,NA,-2.5,-2.75,27,17.6666666666667
"25",2,2023,"Alabama","Texas","Home",401520183,"SEC","fbs","Big 12","fbs",24,34,"53.5","53.5","53",NA,1743,17,24,226,3,0,40,205,5,431,0,0,23,13,10,0,0,2,19,1743,17,24,226,3,0,40,205,5,431,0,0,23,13,10,0,0,2,19,4.5,4.5,5,NA,4.66666666666667,NA,NA
"26",3,2023,"Alabama","South Florida","Away",401520244,"SEC","fbs","American Athletic","fbs",17,3,"60.5",NA,"61",NA,1649,14,27,255,2,2,35,107,0,362,0,2,18,14,5,1,1,10,90,1696,15.5,25.5,240.5,2.5,1,37.5,156,2.5,396.5,0,1,20.5,13.5,7.5,0.5,0.5,6,54.5,-40.5,NA,-41,NA,-40.75,24,4.66666666666667
"27",4,2023,"Alabama","Ole Miss","Home",401520250,"SEC","fbs","SEC","fbs",24,10,"55.5","55.5","56",NA,1774,10,23,107,0,0,42,203,2,310,1,1,15,15,5,0,0,5,35,1722,13.6666666666667,24.6666666666667,196,1.66666666666667,0.666666666666667,39,171.666666666667,2.33333333333333,367.666666666667,0.333333333333333,1,18.6666666666667,14,6.66666666666667,0.333333333333333,0.333333333333333,5.66666666666667,48,-21.5,-21.5,-22,NA,-21.6666666666667,17,-40.75
"28",5,2023,"Alabama","Mississippi State","Away",401520285,"SEC","fbs","SEC","fbs",40,17,"46.5","47","45",NA,2063,17,21,225,1,1,45,131,1,356,0,1,20,13,6,0,0,6,60,1807.25,14.5,23.75,203.25,1.5,0.75,40.5,161.5,2,364.75,0.25,1,19,13.75,6.5,0.25,0.25,5.75,51,10.5,10,12,NA,10.8333333333333,24,-21.6666666666667
"29",6,2023,"Alabama","Texas A&M","Away",401520310,"SEC","fbs","SEC","fbs",26,20,"45.5","46","45",NA,1810,10,13,164,0,0,43,193,3,357,0,0,17,12,5,0,0,6,40,1807.8,13.6,21.6,195.4,1.2,0.6,41,167.8,2.2,363.2,0.2,0.8,18.6,13.4,6.2,0.2,0.2,5.8,48.8,0.5,0,1,NA,0.5,40,10.8333333333333
"30",7,2023,"Alabama","Arkansas","Home",401520316,"SEC","fbs","SEC","fbs",24,21,"45.5","46.5","45",NA,1749,21,33,321,3,1,26,23,0,344,1,2,16,12,4,0,1,14,99,1798,14.8333333333333,23.5,216.333333333333,1.5,0.666666666666667,38.5,143.666666666667,1.83333333333333,360,0.333333333333333,1,18.1666666666667,13.1666666666667,5.83333333333333,0.166666666666667,0.333333333333333,7.16666666666667,57.1666666666667,-0.5,-1.5,0,NA,-0.666666666666667,26,0.5
"31",8,2023,"Alabama","Tennessee","Home",401520333,"SEC","fbs","SEC","fbs",34,20,"47.5","47.5","47.5",NA,1789,10,21,238,2,0,42,177,1,415,0,0,18,14,6,0,0,5,45,1796.71428571429,14.1428571428571,23.1428571428571,219.428571428571,1.57142857142857,0.571428571428571,39,148.428571428571,1.71428571428571,367.857142857143,0.285714285714286,0.857142857142857,18.1428571428571,13.2857142857143,5.85714285714286,0.142857142857143,0.285714285714286,6.85714285714286,55.4285714285714,6.5,6.5,6.5,NA,6.5,24,-0.666666666666667
"32",10,2023,"Alabama","LSU","Home",401520362,"SEC","fbs","SEC","fbs",42,28,"60.5","61.5",NA,"60.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1814.5,14.125,22.875,219.5,1.625,0.625,39.375,147.125,1.625,366.625,0.375,1,18.375,13.25,5.75,0.125,0.25,6.125,49.125,9.5,8.5,NA,9.5,9.16666666666667,34,6.5
"33",11,2023,"Alabama","Kentucky","Away",401520386,"SEC","fbs","SEC","fbs",49,21,"47.0",NA,NA,"45.5",2013,15,23,219,0,0,46,288,6,507,0,0,28,14,11,0,0,6,50,1836.55555555556,14.2222222222222,22.8888888888889,219.444444444444,1.44444444444444,0.555555555555556,40.1111111111111,162.777777777778,2.11111111111111,382.222222222222,0.333333333333333,0.888888888888889,19.4444444444444,13.3333333333333,6.33333333333333,0.111111111111111,0.222222222222222,6.11111111111111,49.2222222222222,23,NA,NA,24.5,23.75,42,9.16666666666667
"34",12,2023,"Alabama","Chattanooga","Home",401520401,"SEC","fbs","Southern","fcs",66,10,NA,NA,NA,"54.5",1926,16,25,285,3,1,39,159,4,444,1,2,23,11,7,0,0,6,64,1845.5,14.4,23.1,226,1.6,0.6,40,162.4,2.3,388.4,0.4,1,19.8,13.1,6.4,0.1,0.2,6.1,50.7,NA,NA,NA,21.5,21.5,49,23.75
"35",13,2023,"Alabama","Auburn","Away",401520427,"SEC","fbs","SEC","fbs",27,24,"48.0","49",NA,"47.5",1589,19,24,259,3,0,33,315,5,574,0,0,21,9,6,0,0,3,25,1822.18181818182,14.8181818181818,23.1818181818182,229,1.72727272727273,0.545454545454545,39.3636363636364,176.272727272727,2.54545454545455,405.272727272727,0.363636363636364,0.909090909090909,19.9090909090909,12.7272727272727,6.36363636363636,0.0909090909090909,0.181818181818182,5.81818181818182,48.3636363636364,3,2,NA,3.5,2.83333333333333,66,21.5
"36",14,2023,"Alabama","Georgia","Home",401539483,"SEC","fbs","SEC","fbs",27,24,"53.5","56",NA,"52.5",1963,16,24,259,2,0,44,192,1,451,0,0,21,16,6,2,2,8,72,1833.91666666667,14.9166666666667,23.25,231.5,1.75,0.5,39.75,177.583333333333,2.41666666666667,409.083333333333,0.333333333333333,0.833333333333333,20,13,6.33333333333333,0.25,0.333333333333333,6,50.3333333333333,-2.5,-5,NA,-1.5,-3,27,2.83333333333333
"37",2,2023,"App State","North Carolina","Away",401525495,"Sun Belt","fbs","ACC","fbs",34,40,"58.0","58","58",NA,1902,18,24,247,5,0,43,147,1,394,0,0,22,13,4,3,3,2,20,1902,18,24,247,5,0,43,147,1,394,0,0,22,13,4,3,3,2,20,16,16,16,NA,16,NA,NA
"38",3,2023,"App State","East Carolina","Home",401531412,"Sun Belt","fbs","American Athletic","fbs",43,28,"48.0",NA,"48.5",NA,2019,22,43,275,2,1,44,219,2,494,0,1,30,17,8,2,3,7,70,1960.5,20,33.5,261,3.5,0.5,43.5,183,1.5,444,0,0.5,26,15,6,2.5,3,4.5,45,23,NA,22.5,NA,22.75,34,16
"39",4,2023,"App State","Wyoming","Away",401531870,"Sun Belt","fbs","Mountain West","fbs",19,22,"45.0","44","45",NA,1888,17,29,241,3,1,46,224,3,465,1,2,23,14,7,0,1,3,25,1936.33333333333,19,32,254.333333333333,3.33333333333333,0.666666666666667,44.3333333333333,196.666666666667,2,451,0.333333333333333,1,25,14.6666666666667,6.33333333333333,1.66666666666667,2.33333333333333,4,38.3333333333333,-4,-3,-4,NA,-3.66666666666667,43,22.75
"40",5,2023,"App State","UL Monroe","Away",401531882,"Sun Belt","fbs","Sun Belt","fbs",41,40,"53.0","51","50.5",NA,2425,22,40,200,0,1,50,217,0,417,1,2,27,19,10,0,1,2,15,2058.5,19.75,34,240.75,2.5,0.75,45.75,201.75,1.5,442.5,0.5,1.25,25.5,15.75,7.25,1.25,2,3.5,32.5,28,30,30.5,NA,29.5,19,-3.66666666666667
"41",7,2023,"App State","Coastal Carolina","Home",401531888,"Sun Belt","fbs","Sun Belt","fbs",24,27,"59.0","63","59",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,21.2,35,259.6,2.6,1,44,201.6,1.4,461.2,0.8,1.8,26,15.2,7.2,1.2,2,4,35.6,-8,-12,-8,NA,-9.33333333333333,41,29.5
"42",8,2023,"App State","Old Dominion","Away",401531895,"Sun Belt","fbs","Sun Belt","fbs",21,28,"56.5","55.5","56",NA,1461,18,31,305,2,0,26,111,1,416,1,1,18,11,3,2,3,6,60,1925.16666666667,20.6666666666667,34.3333333333333,267.166666666667,2.5,0.833333333333333,41,186.5,1.33333333333333,453.666666666667,0.833333333333333,1.66666666666667,24.6666666666667,14.5,6.5,1.33333333333333,2.16666666666667,4.33333333333333,39.6666666666667,-7.5,-6.5,-7,NA,-7,24,-9.33333333333333
"43",9,2023,"App State","Southern Miss","Home",401531898,"Sun Belt","fbs","Sun Belt","fbs",48,38,"55.5","55","55.5",NA,1926,22,32,252,2,0,36,127,1,379,0,0,20,14,3,4,4,5,37,1925.28571428571,20.8571428571429,34,265,2.42857142857143,0.714285714285714,40.2857142857143,178,1.28571428571429,443,0.714285714285714,1.42857142857143,24,14.4285714285714,6,1.71428571428571,2.42857142857143,4.42857142857143,39.2857142857143,30.5,31,30.5,NA,30.6666666666667,21,-7
"44",10,2023,"App State","Marshall","Home",401531905,"Sun Belt","fbs","Sun Belt","fbs",31,9,"57.5","55.5",NA,"57.5",1606,23,33,391,4,1,32,180,3,571,1,2,24,12,5,1,1,5,45,1885.375,21.125,33.875,280.75,2.625,0.75,39.25,178.25,1.5,459,0.75,1.5,24,14.125,5.875,1.625,2.25,4.5,40,-17.5,-15.5,NA,-17.5,-16.8333333333333,48,30.6666666666667
"45",11,2023,"App State","Georgia State","Away",401531913,"Sun Belt","fbs","Sun Belt","fbs",42,14,"62.5",NA,NA,"62.5",2128,19,26,226,3,0,39,153,1,379,0,0,24,12,5,2,3,4,52,1912.33333333333,20.8888888888889,33,274.666666666667,2.66666666666667,0.666666666666667,39.2222222222222,175.444444444444,1.44444444444444,450.111111111111,0.666666666666667,1.33333333333333,24,13.8888888888889,5.77777777777778,1.66666666666667,2.33333333333333,4.44444444444444,41.3333333333333,-6.5,NA,NA,-6.5,-6.5,31,-16.8333333333333
"46",12,2023,"App State","James Madison","Away",401531918,"Sun Belt","fbs","Sun Belt","fbs",26,23,"56.5","56",NA,NA,1625,14,21,255,3,1,39,254,3,509,1,2,19,10,5,0,1,4,50,1883.6,20.2,31.8,272.7,2.7,0.7,39.2,183.3,1.6,456,0.7,1.4,23.5,13.5,5.7,1.5,2.2,4.4,42.2,-7.5,-7,NA,NA,-7.25,42,-6.5
"47",13,2023,"App State","Georgia Southern","Home",401531922,"Sun Belt","fbs","Sun Belt","fbs",55,27,"63.5",NA,NA,"62.5",1643,28,46,318,3,1,27,48,0,366,1,2,24,16,7,0,0,5,50,1861.72727272727,20.9090909090909,33.0909090909091,276.818181818182,2.72727272727273,0.727272727272727,38.0909090909091,171,1.45454545454545,447.818181818182,0.727272727272727,1.45454545454545,23.5454545454545,13.7272727272727,5.81818181818182,1.36363636363636,2,4.45454545454545,42.9090909090909,18.5,NA,NA,19.5,19,26,-7.25
"48",14,2023,"App State","Troy","Away",401539484,"Sun Belt","fbs","Sun Belt","fbs",23,49,"53.0","51.5",NA,"52.5",1756,23,36,296,4,1,33,236,3,532,0,1,29,9,4,0,0,1,15,1852.91666666667,21.0833333333333,33.3333333333333,278.416666666667,2.83333333333333,0.75,37.6666666666667,176.416666666667,1.58333333333333,454.833333333333,0.666666666666667,1.41666666666667,24,13.3333333333333,5.66666666666667,1.25,1.83333333333333,4.16666666666667,40.5833333333333,19,20.5,NA,19.5,19.6666666666667,55,19
"49",2,2023,"Arizona","Mississippi State","Away",401520205,"Pac-12","fbs","SEC","fbs",24,31,"60.0","60","60",NA,1496,20,26,292,3,1,27,186,1,478,1,2,22,5,1,0,2,11,91,1496,20,26,292,3,1,27,186,1,478,1,2,22,5,1,0,2,11,91,-5,-5,-5,NA,-5,NA,NA
"50",3,2023,"Arizona","UTEP","Home",401520219,"Pac-12","fbs","Conference USA","fbs",31,10,"57.5",NA,"57",NA,1942,33,47,340,2,4,25,91,1,431,1,5,23,13,4,2,3,5,55,1719,26.5,36.5,316,2.5,2.5,26,138.5,1,454.5,1,3.5,22.5,9,2.5,1,2.5,8,73,-16.5,NA,-16,NA,-16.25,24,-5
"51",4,2023,"Arizona","Stanford","Away",401524016,"Pac-12","fbs","Pac-12","fbs",21,20,"59.5","60","60",NA,1817,25,32,300,3,0,32,244,1,544,1,1,26,10,5,0,0,6,34,1751.66666666667,26,35,310.666666666667,2.66666666666667,1.66666666666667,28,173.666666666667,1,484.333333333333,1,2.66666666666667,23.6666666666667,9.33333333333333,3.33333333333333,0.666666666666667,1.66666666666667,7.33333333333333,60,-18.5,-19,-19,NA,-18.8333333333333,31,-16.25
"52",5,2023,"Arizona","Washington","Home",401524021,"Pac-12","fbs","Pac-12","fbs",24,31,"68.5","67","66",NA,1731,18,30,204,1,0,37,145,2,349,0,0,20,13,6,1,2,5,36,1746.5,24,33.75,284,2.25,1.25,30.25,166.5,1.25,450.5,0.75,2,22.75,10.25,4,0.75,1.75,6.75,54,-13.5,-12,-11,NA,-12.1666666666667,21,-18.8333333333333
"53",6,2023,"Arizona","USC","Away",401524025,"Pac-12","fbs","Pac-12","fbs",41,43,"69.5","72","69.5",NA,1809,27,39,232,3,1,31,110,0,342,0,1,27,13,5,3,4,8,60,1759,24.6,34.8,273.6,2.4,1.2,30.4,155.2,1,428.8,0.6,1.8,23.6,10.8,4.2,1.2,2.2,7,55.2,14.5,12,14.5,NA,13.6666666666667,24,-12.1666666666667
"54",7,2023,"Arizona","Washington State","Away",401524030,"Pac-12","fbs","Pac-12","fbs",44,6,"56.5","57.5","56.5",NA,2139,25,35,303,5,1,42,203,0,506,0,1,28,16,8,2,2,12,99,1822.33333333333,24.6666666666667,34.8333333333333,278.5,2.83333333333333,1.16666666666667,32.3333333333333,163.166666666667,0.833333333333333,441.666666666667,0.5,1.66666666666667,24.3333333333333,11.6666666666667,4.83333333333333,1.33333333333333,2.16666666666667,7.83333333333333,62.5,-6.5,-7.5,-6.5,NA,-6.83333333333333,41,13.6666666666667
"55",9,2023,"Arizona","Oregon State","Home",401524039,"Pac-12","fbs","Pac-12","fbs",27,24,"57.5","56.5","57.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1893.28571428571,26,36,287.571428571429,2.42857142857143,1,33,164.714285714286,1.42857142857143,452.285714285714,0.428571428571429,1.42857142857143,24.5714285714286,12.4285714285714,5.57142857142857,1.28571428571429,2,7.42857142857143,61.4285714285714,-6.5,-5.5,-6.5,NA,-6.16666666666667,44,-6.83333333333333
